GBP1R31  | 1       | ENABLED  | Iub_BAYKC
GBP1R31  | 1       | ENABLED  | Iub_BAYKCR
GBP1R31  | 1       | ENABLED  | Iub_BAYTL
GBP1R31  | 1       | ENABLED  | Iub_BAYTLR
GBP1R31  | 1       | ENABLED  | Iub_BAYZO
GBP1R31  | 1       | ENABLED  | Iub_BAYZOR
GBP1R31  | 1       | ENABLED  | Iub_BYHEG
GBP1R31  | 1       | ENABLED  | Iub_BYHEGR
GBP1R31  | 1       | ENABLED  | Iub_CAICD
GBP1R31  | 1       | ENABLED  | Iub_CAICDQ
GBP1R31  | 1       | ENABLED  | Iub_CAICDR
GBP1R31  | 1       | ENABLED  | Iub_CAYEC
GBP1R31  | 1       | ENABLED  | Iub_CAYECR
GBP1R31  | 1       | ENABLED  | Iub_CAYRD
BRP1R06  | 0       | DISABLED | Iub_ADGUBR
BRP1R06  | 1       | ENABLED  | Iub_AYVAP
BRP1R06  | 1       | ENABLED  | Iub_AYVAPR
BRP1R06  | 1       | ENABLED  | Iub_BAANF
BRP1R06  | 1       | ENABLED  | Iub_BAANFQ
BRP1R06  | 1       | ENABLED  | Iub_BAANFR
BRP1R06  | 1       | ENABLED  | Iub_BAANFS
BRP1R06  | 1       | ENABLED  | Iub_BABBD
BRP1R06  | 1       | ENABLED  | Iub_BABBDQ
BRP1R06  | 1       | ENABLED  | Iub_BABBDR
BRP1R06  | 1       | ENABLED  | Iub_BABEV
BRP1R06  | 1       | ENABLED  | Iub_BABEVQ
BRP1R06  | 1       | ENABLED  | Iub_BABEVR
